names	tissues	correlation	ontology	similarity.measure	expr.distance	status
SRR598068_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR597952_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR598100_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR598364_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR598565_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR598645_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR599346_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR599412_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR599122_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR602389_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR601157_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR601962_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR601359_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR608064_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR607679_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR601525_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR601549_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR601843_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR607705_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR602338_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR608120_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR602951_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR602978_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR603036_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR603726_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR603834_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR604148_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR604294_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR604342_Thyroid	thyroid	0.715563866125199	Cosine	Spearman	Spearman	0
SRR603268_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR603942_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR608512_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR607502_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR613402_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR614912_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR613018_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR613258_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR613795_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR615285_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR613975_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR613711_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR614023_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR614107_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR614275_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR615347_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
SRR614743_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	0
